,Location_Identifier,User_Count
0,C300MHE-DMD-NODE15221561,14
1,C300MHT-NE-NODE8152461,16
2,C300MIDH-IDJ-NODE11065541,59
3,C300MKI-NODE10668164,90
4,C300MNW-MEE-NODE18887751,183
5,C300MPDT-NODE13379431,12
6,C300MTP-NODE8700911,21
7,C300MVH-NODE9874041,16
8,MA5603TAD-SRV-NODE10224991,7
9,MSAG5200-ISLBZ-NODE435881,158
10,MSAG5200-ISLGE-NODE5577981,16
11,MSAG5200-ISLHC-NAP-NODE478721,18
12,MSAG5200-ISLHK-OCC-NODE506561,19
13,MSAG5200-ISLHNT-NODE423851,17
14,MSAG5200-ISLHO-NODE524692,3
15,MSAG5200-ISLHZ-BRL-NODE471911,16
16,MSAG5200-ISLIDH-KGW-NODE6194491,188
17,MSAG5200-ISLJA-PKV-NODE460421,18
18,MSAG5200-ISLKI-KRB-NODE479411,1
19,MSAG5200-ISLMB-PSL-NODE482261,18
20,MSAG5200-ISLMH-POL-NODE491451,109
21,MSAG5200-ISLMLT-VMD-NODE4145091,59
22,MSAG5200-ISLMT-AVR-NODE467161,301
23,MSAG5200-ISLMV-GDM-NODE482491,330
24,MSAG5200-ISLMX-NODE5391821,20
25,MSAG5200-ISLND-PHG-NODE500241,362
26,MSAG5200-ISLNL-HGW-NODE491281,15
27,MSAG5200-ISLPC-AGT-NODE480031,110
28,MSAG5200-ISLPK-PNU-NODE6136021,7
29,MSAG5200-ISLPRN-NODE427901,11
30,MSAG5200-ISLSI-DWS-NODE520721,103
31,MSAG5200-ISLTBL-NODE5577771,15
32,MSAG5200-ISLTBT-TLJ-NODE487241,9
33,MSAG5200-ISLVA-NKM-NODE481961,50
34,MSAG5200-ISLWI-NWT-NODE485201,21
35,MSAG5200-ISLWKN-SWP-NODE473481,33
36,MSAG5200-ISLWM-NODE432881,5
37,MSAG5200-ISLWY-MDB-NODE506221,16
38,MSAG5200BG-NODE431391,219
39,MSAG5200HPG-NODE432141,17
40,MSAG5200MGE-NODE428381,19
41,MSAG5200PH-AKG-NODE431631,264
42,MSAG5200PK-NODE438641,12
43,MSAG5200WLI-NODE422581,2
44,UA5000(IPMB)IM-NODE391531,17
45,UA5000(IPMB)SL-NODE385341,161
46,ZXDSL9806H-ISLAG-PNP-NODE529761,19
47,ZXDSL9806H-ISLKE-NRP-NODE495731,20
48,ZXDSL9806H-ISLKL-PRC-NODE482361,20
